"id","name"
"265",""
"131"," B. C. Мхитарян"
"32","X. Райфа"
"22","others"
"747","А. А. Акаева"
"638","А. А. Бакаев"
"19","А. А. Барсегян"
"835","А. А. Боровков"
"732","А. А. Вавилова"
"473","А. А. Грешилов"
"401","А. А. Емельянов"
"928","А. А. Жиглявский"
"619","А. А. Загорянская"
"572","А. А. Зализняк"
"765","А. А. Ивашенко"
"354","А. А. Каплан"
"648","А. А. Корсаков"
"758","А. А. Кугаенко"
"820","А. А. Кудрявцев"
"822","А. А. Лазарев"
"715","А. А. Лескин"
"791","А. А. Летичевский"
"91","А. А. Лигун"
"798","А. А. Ляпунова"
"374","А. А. Макаров"
"181","А. А. Матвеев"
"511","А. А. Мицель"
"1003","А. А. Павлов"
"800","А. А. Первозванский"
"328","А. А. Петров"
"168","А. А. Рубчинский"
"807","А. А. Самарский"
"57","А. А. Свешников"
"348","А. А. Селюгин"
"677","А. А. Сорокин"
"454","А. А. Шаров"
"983","А. Александреску"
"988","А. Ахо"
"923","А. Б. Дегтярев"
"744","А. Б. Петровский"
"500","А. Б. Секерина"
"516","А. В. Алексеев"
"817","А. В. Андрейчиков"
"302","А. В. Боженюк"
"808","А. В. Гулин"
"997","А. В. Королькова"
"748","А. В. Коротаева"
"571","А. В. Кунин"
"699","А. В. Лапко"
"553","А. В. Левитин"
"159","А. В. Леоненков"
"573","А. В. Лотов"
"287","А. В. Мельников"
"106","А. В. Пантелеев"
"957","А. В. Печинкин"
"429","А. В. Пятецкая"
"30","А. В. Райченко"
"129","А. В. Сироткин"
"682","А. В. Скороход"
"356","А. В. Фудина"
"183","А. В. Цветков"
"705","А. В. Шавров"
"764","А. В. Щепкин"
"208","А. Вальд"
"227","А. Г. Аганбегяна"
"311","А. Г. Александров"
"34","А. Г. Гранберга"
"398","А. Г. Грязновой"
"796","А. Г. Курош"
"566","А. Г. Мордкович"
"489","А. Г. Чхартишвили"
"225","А. Г. Шоломицкий"
"139","А. Гарсиа-Диас"
"780","А. Д. Мышкис"
"230","А. Д. Тейлор"
"865","А. Д. Хомоненко"
"63","А. Д. Шеремет"
"411","А. Д. Юдин"
"539","А. Е. Курилов"
"857","А. Е. Сатунина"
"197","А. Зельнер"
"781","А. И. Галушкин"
"782","А. И. Галушкина"
"691","А. И. Ильин"
"856","А. И. Кобзарь"
"864","А. И. Кострикин"
"870","А. И. Кострикина"
"853","А. И. Лобанов"
"291","А. И. Наумов"
"275","А. И. Орлов"
"895","А. И. Рыбников"
"659","А. И. Семенов"
"48","А. И. Терновой"
"148","А. И. Черемисин"
"541","А. И. Ястремский"
"829","А. К. Сушкевич"
"576","А. Коберн"
"346","А. Кофман"
"321","А. Л. Блинов"
"127","А. Л. Тулупьев"
"5","А. Лоу"
"673","А. М. Вендров"
"606","А. М. Длин"
"172","А. М. Дубров"
"654","А. М. Елизарова"
"483","А. М. Новиков"
"273","А. М. Петровский"
"592","А. М. Рубинов"
"717","А. М. Спиридонов"
"71","А. Максвелл"
"38","А. Н. Борисов"
"761","А. Н. Бородулин"
"344","А. Н. Катулев"
"298","А. Н. Мелихов"
"689","А. Н. Степанов"
"596","А. Н. Шабалин"
"250","А. Н. Ширяев"
"132","А. П. Альгин"
"219","А. П. Вощинин"
"35","А. П. Егоршина"
"494","А. П. Михайлов"
"78","А. Пирсол"
"171","А. Прад"
"23","А. Прицкер"
"378","А. Р. Белкин"
"504","А. Р. Рао"
"304","А. С. Майданов"
"628","А. С. Подколзин"
"696","А. С. Пономарев"
"901","А. С. Самардак"
"253","А. С. Шапкин"
"814","А. Самарин"
"888","А. Стьюарт"
"54","А. Тверски"
"144","А. Ф. Леонтьев"
"295","А. Фиакко"
"125","А. Хальд"
"568","А. Э. Мильчин"
"8","А. Э. Церковный"
"750","А. Ю. Выжигин"
"762","А. Ю. Заложнев"
"510","А. Ю. Иваницкий"
"963","А. Я. Городецкий"
"407","А. Якобсон"
"912","Б. А. Баллод"
"416","Б. А. Березовский"
"173","Б. А. Лагоша"
"484","Б. А. Райзберг"
"867","Б. Андерсен"
"430","Б. В. Гнеденко"
"769","Б. В. Овчинский"
"313","Б. Г. Литвак"
"537","Б. Г. Литвака"
"281","Б. Г. Миркин"
"711","Б. Д. Виснадул"
"334","Б. Джордан"
"675","Б. З. Мильнер"
"779","Б. Зельдович"
"118","Б. И. Квасов"
"733","Б. И. Кузин"
"735","Б. И. Модель"
"720","Б. Кузин"
"828","Б. Л. Литвак"
"501","Б. М. Величковского"
"973","Б. Маклафлин"
"376","Б. Н. Бублик"
"984","Б. Н. Порфирьев"
"271","Б. Н. Пшеничный"
"112","Б. П. Демидович"
"123","Б. П. Титаренко"
"776","Б. П. Чупрынов"
"787","Б. Страуструп"
"777","Б. Т. Кузнецов"
"788","Б. У. Боэм"
"636","Б. Ш. Мордухович"
"355","Б. Эфрон"
"594","В. А. Абчук"
"933","В. А. Акимов"
"466","В. А. Архангельская"
"562","В. А. Благодатских"
"413","В. А. Волконский"
"946","В. А. Галкина"
"872","В. А. Гусев"
"734","В. А. Дуболазов"
"1005","В. А. Евстигнеев"
"51","В. А. Ириков"
"543","В. А. Каштанов"
"86","В. А. Колемаев"
"993","В. А. Лекторского"
"476","В. А. Малугин"
"890","В. А. Маслова"
"251","В. А. Протопопов"
"621","В. А. Струсевич"
"254","В. А. Шапкин"
"95","В. Б. Бериков"
"626","В. Б. Кудрявцев"
"151","В. Б. Лещева"
"368","В. Б. Силантьев"
"774","В. Б. Тарасов"
"633","В. Босс"
"81","В. В. Амосова"
"460","В. В. Баранов"
"915","В. В. Баронов"
"507","В. В. Борисов"
"894","В. В. Виноградов"
"110","В. В. Воеводин"
"162","В. В. Давнис"
"490","В. В. Девятков"
"586","В. В. Емельянов"
"771","В. В. Иванов"
"757","В. В. Калашников"
"137","В. В. Кафаров"
"336","В. В. Ковалев"
"661","В. В. Кондратьев"
"506","В. В. Круглов"
"324","В. В. Кузьмин"
"826","В. В. Куприянов"
"587","В. В. Курейчик"
"318","В. В. Лебедев"
"314","В. В. Литвинов"
"145","В. В. Напалков"
"741","В. В. Репин"
"898","В. В. Русанов"
"706","В. В. Солдатов"
"21","В. В. Степаненко"
"431","В. В. Степанов"
"1008","В. В. Ступкин"
"632","В. В. Титов"
"546","В. В. Трофимова"
"662","В. В. Цыганов"
"616","В. В. Шкурба"
"92","В. Г. Доронин"
"742","В. Г. Елиферов"
"889","В. Г. Срагович"
"685","В. Д. Лекус"
"449","В. Д. Ногин"
"502","В. Д. Соловьев"
"881","В. Е. Бенинг"
"863","В. Е. Гмурман"
"350","В. Е. Жуковин"
"786","В. Е. Котов"
"623","В. Е. Палош"
"412","В. З. Беленький"
"486","В. И. Бережной"
"611","В. И. Богачев"
"418","В. И. Борзенко"
"834","В. И. Венецкая"
"563","В. И. Вольский"
"903","В. И. Грекул"
"115","В. И. Жуковский"
"845","В. И. Ковальский"
"1004","В. И. Косарев"
"698","В. И. Кузьмин"
"496","В. И. Малюгин"
"893","В. И. Малюк"
"15","В. И. Моргунов"
"423","В. И. Николаев"
"163","В. И. Тинякова"
"884","В. И. Якунина"
"660","В. К. Кубликов"
"965","В. К. Мюллер"
"373","В. К. Чичинадзе"
"4","В. Кельтон"
"793","В. Крабс"
"727","В. Л. Максвелл"
"119","В. Л. Мирошниченко"
"719","В. Л. Сосонкин"
"605","В. Л. Стефанюк"
"82","В. Л. Тамбовцев"
"876","В. М. Аскинадзи"
"422","В. М. Брук"
"176","В. М. Бухштабер"
"13","В. М. Гальперин"
"770","В. М. Глушков"
"962","В. М. Глушкова"
"352","В. М. Гранатуров"
"239","В. М. Жуковская"
"588","В. М. Курейчик"
"392","В. М. Матюшок"
"440","В. М. Пономарев"
"658","В. М. Португал"
"772","В. М. Яненко"
"836","В. Н. Башкин"
"50","В. Н. Бурков"
"617","В. Н. Вагин"
"199","В. Н. Волковой"
"42","В. Н. Захарова"
"1006","В. Н. Касьянов"
"200","В. Н. Козлова"
"89","В. Н. Петров"
"188","В. Н. Якимец"
"644","В. П. Божко"
"370","В. П. Буянов"
"61","В. П. Гладун"
"169","В. П. Дьяконов"
"497","В. П. Кирлица"
"212","В. П. Кохановский"
"358","В. П. Кузнецов"
"869","В. П. Романов"
"252","В. П. Суйц"
"669","В. Р. Хачатуров"
"803","В. С. Автономова"
"643","В. С. Белов"
"947","В. С. Зубов"
"824","В. С. Иозайтис"
"680","В. С. Королюк"
"307","В. С. Лукинского"
"849","В. С. Михалевич"
"979","В. С. Мхитарян"
"615","В. С. Ручкин"
"289","В. С. Скорнякова"
"221","В. С. Ступаков"
"426","В. С. Танаев"
"152","В. Т. Дьякова"
"724","В. Ф. Горнев"
"877","В. Ф. Максимова"
"731","В. Ф. Петроченко"
"604","В. Ф. Пугачев"
"43","В. Ф. Хорошевского"
"910","В. Феллер"
"347","В. Х. Каипов"
"686","В. Э. Ровинский"
"880","В. Ю. Королев"
"721","В. Юрьев"
"583","В. Я. Катковник"
"337","Вит. В. Ковалев"
"111","Вл. В. Воеводин"
"945","Г. А. Донец"
"9","Г. А. Мамедова"
"80","Г. А. Маховикова"
"293","Г. А. Михайлов"
"925","Г. Александер"
"55","Г. Б. Клейнер"
"231","Г. Буч"
"730","Г. В. Беляев"
"517","Г. В. Меркурьева"
"434","Г. В. Ройзензон"
"3","Г. В. Савицкая"
"819","Г. В. Чернова"
"175","Г. Вагнер"
"278","Г. Ваннер"
"242","Г. Васильковский"
"866","Г. Вунш"
"749","Г. Г. Малиценкого"
"533","Г. Дебазей"
"361","Г. Дэвид"
"85","Г. Зойтендейк"
"556","Г. И. Букаев"
"982","Г. И. Запорожец"
"542","Г. И. Ивченко"
"873","Г. К. Круг"
"79","Г. М. Гукасьян"
"815","Г. М. Островский"
"296","Г. Мак-Кормик"
"561","Г. Н. Берман"
"904","Г. Н. Денишенко"
