"id","title","publisher_id","address","year","edition","numpages","language","remark","category_id"
"1","Выбор вариантов: основы теории","1","М.","1990","","240","russian","","4"
"2","Экономический анализ","2","М.","2005","11-е изд., испр. и доп.","651","russian","","4"
"3","Имитационное моделирование. Классика CS","3","СПб.","2004","3-е изд.","847","russian","","3"
"4","Математическая экономия","4","М.","1963","","669","russian","","4"
"5","Управление производством при нечеткой исходной информации","5","М.","1991","","240","russian","","2"
"6","Введение в многомерный статистический анализ","6","М.","1963","","500","russian","","2"
"7","Введение в методы оптимизации","1","М.","1977","","344","russian","","3"
"8","Имитационное моделирование систем: искусство и наука","7","М.","1978","","420","russian","","1"
"9","Микроэкономика","8","СПб.","1998","","349","russian","","3"
"10","Теория вероятностей и ее инженерные приложения","9","М.","2000","2-е изд., стер.","480","russian","","1"
"11","Метод статистического моделирования","10","М.","1970","","112","russian","","1"
"12","Микроэкономика","8","СПб.","1998","","503","russian","","2"
"13","Методы и модели анализа данных: OLAP и Data Mining","11","СПб.","2004","","336","russian","","2"
"14","Введение в имитационное моделирование и язык СЛАМ II","7","М.","1987","","646","russian","","2"
"15","Сборник основных российских стандартов по библиотечно-информационной деятельности","12","СПб.","2006","","547","russian","","2"
"16","Микроэкономика. Промежуточный уровень. Современный подход","13","М.","1997","","767","russian","","3"
"17","Введение в исследование операций","14","М.","2005","7-е","912","russian","","3"
"18","Нечеткие множества в моделях управления и искусственного интеллекта","1","М.","1986","","312","russian","","1"
"19","Теория организации","15","СПб.","2008","2-е изд., доп. и перераб.","464","russian","","1"
"20","Принятие решений при многих критериях: предпочтения и замещения","16","М.","1981","","560","russian","","3"
"21","Стратегическое управление: регион, город, предприятие","17","М.","2005","","603","russian","","1"
"22","Основы исследования операций","7","М.","1971","","536","russian","","4"
"23","Принятие решений на основе нечетких моделей: Примеры использования","18","Рига","1990","","184","russian","","2"
"24","Искусственный интеллект. Справочник. Книга 1. Системы общения и экспертные системы","16","М.","1990","","464","russian","","4"
"25","Искусственный интеллект. Справочник. Книга 3. Программные и аппаратные средства","16","М.","1990","","368","russian","","2"
"26","Искусственный интеллект. Справочник. Книга 2. Модели и методы","16","М.","1990","","304","russian","","3"
"27","Сети, связь и потоки","19","М.","1978","","448","russian","","4"
"28","Дискретные математические модели с приложениями к социальным, биологическим и экологическим задачам","1","М.","1986","","496","russian","","3"
"29","Разработка управленческих решений","20","М.","2008","2-е изд., перераб. и доп.","383","russian","","3"
"30","Модели и методы управления организационными  системами","1","М.","1994","","270","russian","","1"
"31","Принятие решений в неопределенности: Правила и предубеждения","21","Харьков","2005","","632","russian","","4"
"32","Стратегия предприятия","22","М.","2008","","568","russian","","4"
"33","Теория экономического развития","23","М.","1982","","456","russian","","1"
"34","Прикладные методы, теории случайных функций","1","М.","1968","2-е, перераб. и доп.","449","russian","","2"
"35","Выпуклые структуры и математическая экономика","7","М.","1972","","519","russian","","3"
"36","Социальные индикаторы","20","М.","2006","","607","russian","","4"
"37","Планирование решений","24","Киев","1987","","168","russian","","4"
"38","Теория экономического анализа","25","М.","2001","4-е изд., доп. и перераб.","416","russian","","2"
"39","Нелинейное программирование. Теория и алгоритмы","7","М.","1982","","583","russian","","1"
"40","Хозяйственный риск и методы его измерения","17","М.","1979","","184","russian","","1"
"41","Условная оптимизация и методы множителей Лагранжа","16","М.","1987","","400","russian","","4"
"42","Факторный анализ как статистический метод","7","М.","1967","","145","russian","","2"
"43","Экспертные системы: принципы разработки и программирование","14","М.","2007","4-е изд.","1152","russian","","1"
"44","Нейронные сети: полный курс","14","М.","2006","2-е изд.","1104","russian","","2"
"45","Прикладные методы анализа данных и знаний","26","Новосибирск","1999","","270","russian","","4"
"46","Вычислительные алгоритмы в прикладной статистике","25","М.","1988","","350","russian","","3"
"47","Применения корреляционного и спектрального анализа","7","М.","1983","","312","russian","","3"
"48","Экономическая теория","15","СПб.","2003","","480","russian","","3"
"49","Предприятие в нестабильной экономической среде: риски, стратегии, безопасность","17","М.","1997","","288","russian","","1"
"50","Введение в теорию исследования операций","1","М.","1971","","384","russian","","2"
"51","Методы возможных направлений","4","М.","1963","","176","russian","","1"
"52","Элементы динамического программирования","1","М.","1964","","176","russian","","4"
"53","Математическая экономика","20","М.","2002","2-е изд., перераб. и доп.","399","russian","","4"
"54","Вербальный анализ решений","1","М.","2006","","181","russian","","4"
"55","Информационные системы","15","СПб.","2008","2-е изд.","656","russian","","4"
"56","Экстремальные задачи теории приближения","1","М.","1976","","320","russian","","1"
"57","Сплайны в теории приближения","1","М.","1984","","352","russian","","3"
"58","Аппроксимация с ограничениями","24","Киев","1982","","252","russian","","1"
"59","Фирма, рынок и право","27","М.","2007","","224","russian","","4"
"60","Устойчивость решающих функций в задачах распознавания образов и анализа разнотипной информации","26","Новосибирск","2005","","218","russian","","3"
"61","Математическая статистика","1","М.","1967","","632","russian","","4"
"62","Понятие лингвистической переменной и его применение к принятию приближенных решений. Пер. с англ. Н. И. Ринго","7","М.","97","","6","russian","","4"
"63","Практика эконометрики: классика и современность","20","М.","2005","","863","russian","","2"
"64","Современный факторный анализ","10","М.","1972","","486","russian","","4"
"65","Динамическое программирование","4","М.","1960","","400","russian","","2"
"66","Прикладные задачи динамического программирования","1","М.","1965","","460","russian","","2"
"67","Лекции по теории аппроксимации","1","М.","1965","2-е изд, перераб. и допол.","408","russian","","4"
"68","Искусственный интеллект: современный подход","14","М.","2006","2-е изд.","1408","russian","","2"
"69","Методы обработки разнотипных экспериментальных данных","1","Новосибирск","1981","","161","russian","","3"
"70","Методы оптимизации в примерах и задачах","9","М.","2005","2-е изд., исправл.","544","russian","","4"
"71","Принятие решений при зависимостях и обратных связях: Аналитические сети","28","М.","2008","","360","russian","","1"
"72","Многокритериальная оптимизация. Теория, вычисления и приложения","16","М.","1992","","504","russian","","3"
"73","Энциклопедия линейной алгебры. Электронная система ЛИНЕАЛ","11","СПб.","2006","","544","russian","","3"
"74","Основы вычислительной математики","1","М.","1966","3-е, исправ.","664","russian","","2"
"75","Статистическое оценивание","10","М.","1976","","598","russian","","3"
"76","Риск в многокритериальных и конфликтных системах при неопределенности","29","М.","2004","","272","russian","","1"
"77","Методы сплайн-функции","1","М.","1980","","352","russian","","2"
"78","Численные методы оптимизации. Единый подход","7","М.","1974","","376","russian","","2"
"79","Эконометрия структурных изменений","25","М.","1981","","183","russian","","1"
"80","Устойчивые методы оценивания","10","М.","1980","","208","russian","","2"
"81","Проверка статистических гипотез","1","М.","1979","","408","russian","","3"
