Предмет,Кол-во сдававших ЕГЭ,Доля (%) сдававших ЕГЭ,"Кол-во выпускников,","Доля (%) выпускников,","Кол-во выпускников, набравших 71-80 баллов","Доля (%) выпускников, набравших 71 – 80 баллов","Кол-во выпускников, набравших  81 – 90 баллов","Доля (%) выпускников, набравших  81 – 90 баллов","Кол-во выпускников, набравших  91 – 99 баллов","Доля (%) выпускников, набравших  91 – 99 баллов","Кол-во выпускников, набравших  100 баллов","Доля (%) выпускников, набравших 100 баллов ",Средний балл ЕГЭ,,
,по предмету,по предмету,не преодолевших установленный  минимальный порог,не преодолевших установленный  минимальный порог,,,,,,,,(от сдававших ЕГЭ,по предмету,,
,,,,,,,,,,,,по предмету), ОО, муниципалитет,регион
Английский язык,7,"23,33",0,0,0,0,2,"28,57",3,"42,86",0,0,"82,29","72,82","74,91"
География,5,"16,67",2,40,0,0,0,0,0,0,0,0,"40,2",56,"59,63"
Информатика и ИКТ,3,10,0,0,0,0,0,0,0,0,0,0,45,"62,13","63,79"
История,4,"13,33",0,0,0,0,1,25,0,0,0,0,"56,5","55,76","59,76"
Литература,2,"6,67",0,0,0,0,1,50,1,50,0,0,"90,5","69,55","69,58"
Математика профильная,14,"46,67",1,"7,14",3,"21,43",1,"7,14",0,0,0,0,"56,43","52,73","55,43"
Обществознание,20,"66,67",9,45,0,0,0,0,0,0,0,0,"43,35","53,02","56,19"
Русский язык,30,100,0,0,4,"13,33",6,20,4,"13,33",0,0,"68,97","71,87","73,26"
Физика,5,"16,67",0,0,0,0,1,20,1,20,0,0,"67,2","58,27","60,07"
