Рейтинг эффективности деятельности государственных учреждений Свердловской области, подведомственных Министерству образования и молодежной политики Свердловской области, за 2020 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
1.;012080;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 1»;160,00;160,00;100,00;Высокоэффективное
2.;012054;Государственное автономное профессиональное образовательное учреждение Свердловской области «Колледж управления и сервиса «Стиль» ;159,00;160,00;99,38;Высокоэффективное
3.;012041;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский энергетический техникум»;159,00;160,00;99,38;Высокоэффективное
4.;012003;Государственное автономное профессиональное образовательное учреждение Свердловской области «Свердловский областной педагогический колледж»;157,00;160,00;98,13;Высокоэффективное
5.;012146;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский мотоциклетный техникум»;156,00;160,00;97,50;Высокоэффективное
6.;012172;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 6, реализующая адаптированные основные общеобразовательные программы»;156,00;160,00;97,50;Высокоэффективное
7.;012081;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 2»;156,00;160,00;97,50;Высокоэффективное
8.;012175;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №3, реализующая адаптированные основные общеобразовательные программы»;156,00;160,00;97,50;Высокоэффективное
9.;012131;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж технологий и предпринимательства» ;156,00;160,00;97,50;Высокоэффективное
10.;012082;Государственное автономное профессиональное  образовательное учреждение Свердловской области «Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова» ;156,00;160,00;97,50;Высокоэффективное
11.;012090;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский торгово-экономический колледж»;156,00;160,00;97,50;Высокоэффективное
12.;012142;Государственное автономное нетиповое образовательное учреждение Свердловской области «Дворец молодежи»;148,00;152,00;97,37;Высокоэффективное
13.;012072;Государственное бюджетное общеобразовательное учреждение Свердловской области «Кадетская школа-интернат «Екатеринбургский кадетский корпус войск национальной гвардии Российской Федерации»;159,00;164,00;96,95;Высокоэффективное
14.;012050;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский техникум промышленности и транспорта»;155,00;160,00;96,88;Высокоэффективное
15.;012125;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский государственный колледж имени И.И. Ползунова»;155,00;160,00;96,88;Высокоэффективное
16.;012037;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум химического машиностроения""";155,00;160,00;96,88;Высокоэффективное
17.;012040;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский экономико-технологический колледж»;155,00;160,00;96,88;Высокоэффективное
18.;012068;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский  техникум торговли и сервиса»;155,00;160,00;96,88;Высокоэффективное
19.;012042;Государственное автономное образовательное учреждение дополнительного профессионального образования Свердловской области «Институт развития образования»;144,00;149,00;96,64;Высокоэффективное
20.;012010;Государственное автономное профессиональное образовательное учреждение Свердловской области «Асбестовский политехникум» ;154,00;160,00;96,25;Высокоэффективное
21.;012103;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Речевой центр»;157,00;164,00;95,73;Высокоэффективное
22.;012093;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский металлургический колледж»;153,00;160,00;95,63;Высокоэффективное
23.;012122;Государственное автономное профессиональное образовательное учреждение Свердловской области «Техникум индустрии питания и услуг «Кулинар»;153,00;160,00;95,63;Высокоэффективное
24.;012129;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж строительства, архитектуры и предпринимательства»;153,00;160,00;95,63;Высокоэффективное
25.;012002;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ресурс»;153,00;160,00;95,63;Высокоэффективное
26.;012038;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский торгово-экономический техникум»;152,00;160,00;95,00;Высокоэффективное
27.;012033;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский промышленно-технологический техникум им. В.М. Курочкина»;152,00;160,00;95,00;Высокоэффективное
28.;012099;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский педагогический колледж»;152,00;160,00;95,00;Высокоэффективное
29.;012132;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский радиотехнический колледж им. А.С. Попова»;152,00;160,00;95,00;Высокоэффективное
30.;012227;Государственное казенное общеобразовательное учреждение Свердловской области «Нижнетагильская вечерняя школа № 1»;118,00;125,00;94,40;Эффективное
31.;012030;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский колледж транспортного строительства» ;151,00;160,00;94,38;Эффективное
32.;012210;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ревдинская школа, реализующая адаптированные основные общеобразовательные программы»;150,00;160,00;93,75;Эффективное
33.;012204;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 1, реализующая адаптированные основные общеобразовательные программы»;149,00;160,00;93,13;Эффективное
34.;012108;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сергинский многопрофильный техникум»;148,00;160,00;92,50;Эффективное
35.;012091;Государственное автономное профессиональное образовательное учреждение Свердловской области «Областной техникум дизайна и сервиса» ;148,00;160,00;92,50;Эффективное
36.;012151;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский техникум отраслевых технологий и сервиса»;148,00;160,00;92,50;Эффективное
37.;012032;Государственное автономное профессиональное образовательное учреждение  Свердловской области «Екатеринбургский монтажный колледж»;148,00;160,00;92,50;Эффективное
38.;012028;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский автомобильно-дорожный колледж»;147,00;160,00;91,88;Эффективное
39.;012063;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский политехнический колледж»;147,00;160,00;91,88;Эффективное
40.;012009;Государственное автономное профессиональное образовательное учреждение Свердловской области «Артинский агропромышленный техникум»;146,00;160,00;91,25;Эффективное
41.;012078;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский железнодорожный техникум»;146,00;160,00;91,25;Эффективное
42.;012075;Государственное автономное профессиональное образовательное учреждение Свердловской области «Новоуральский технологический колледж»;146,00;160,00;91,25;Эффективное
43.;012203;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 2, реализующая адаптированные основные общеобразовательные программы»;149,00;164,00;90,85;Эффективное
44.;012205;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат № 1, реализующая адаптированные основные общеобразовательные программы»;145,00;160,00;90,63;Эффективное
45.;012121;Государственное автономное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж им. Н.И. Кузнецова»;145,00;160,00;90,63;Эффективное
46.;012051;Государственное автономное профессиональное образовательное учреждение Свердловской области «Карпинский машиностроительный техникум»;145,00;160,00;90,63;Эффективное
47.;012055;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский индустриальный колледж»;145,00;160,00;90,63;Эффективное
48.;012056;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский политехникум»;145,00;160,00;90,63;Эффективное
49.;012057;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Красноуральский многопрофильный техникум"" ";145,00;160,00;90,63;Эффективное
50.;012023;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесалдинский авиаметаллургический колледж им. А. А. Евстигнеева» ;144,00;160,00;90,00;Эффективное
51.;012027;Государственное автономное профессиональное образовательное учреждение Свердловской области «Высокогорский многопрофильный техникум»;144,00;160,00;90,00;Эффективное
52.;012092;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский политехникум»;143,00;160,00;89,38;Эффективное
53.;012049;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский педагогический колледж»;143,00;160,00;89,38;Эффективное
54.;012229;Государственное казенное общеобразовательное учреждение Свердловской области «Ивдельская вечерняя школа»;111,00;125,00;88,80;Эффективное
55.;012065;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский радиотехнический техникум»;142,00;160,00;88,75;Эффективное
56.;012208;Государственное бюджетное общеобразовательное учреждение Свердловской области «Первоуральская школа, реализующая адаптированные основные общеобразовательные программы»;142,00;160,00;88,75;Эффективное
57.;012077;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых»;142,00;160,00;88,75;Эффективное
58.;012021;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнепышминский механико-технологический техникум «Юность»;145,00;164,00;88,41;Эффективное
59.;012134;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский политехнический колледж – Межрегиональный центр компетенций»;141,00;160,00;88,13;Эффективное
60.;012224;Государственное казенное общеобразовательное учреждение Свердловской области «Екатеринбургская вечерняя школа № 2»;110,00;125,00;88,00;Эффективное
61.;012219;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат для детей, нуждающихся в длительном лечении» ;145,00;165,00;87,88;Эффективное
62.;012176;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 8, реализующая адаптированные основные общеобразовательные программы»;140,00;160,00;87,50;Эффективное
63.;012001;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Эхо»;140,00;160,00;87,50;Эффективное
64.;012225;Государственное казенное общеобразовательное учреждение Свердловской области «Краснотурьинская вечерняя школа»;109,00;125,00;87,20;Эффективное
65.;012100;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский многопрофильный техникум»;139,00;160,00;86,88;Эффективное
66.;012127;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж бизнеса, управления и технологии красоты»;139,00;160,00;86,88;Эффективное
67.;012043;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский гуманитарный колледж»;139,00;160,00;86,88;Эффективное
68.;012058;Государственное автономное профессиональное образовательное учреждение Свердловской области «Красноуфимский аграрный колледж»;139,00;160,00;86,88;Эффективное
69.;012158;Государственное бюджетное общеобразовательное учреждение Свердловской области «Черноусовская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;139,00;160,00;86,88;Эффективное
70.;012029;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский политехникум»;139,00;160,00;86,88;Эффективное
71.;012168;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнепышминская школа-интернат имени С.А. Мартиросяна, реализующая адаптированные основные общеобразовательные программы»;142,00;164,00;86,59;Эффективное
72.;012218;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат «Эверест», реализующая адаптированные основные общеобразовательные программы»;142,00;164,00;86,59;Эффективное
73.;012048;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский гуманитарно-технологический техникум»;142,00;164,00;86,59;Эффективное
74.;012232;Государственное казенное общеобразовательное учреждение Свердловской области «Тавдинская вечерняя школа»;108,00;125,00;86,40;Эффективное
75.;012228;Государственное казенное общеобразовательное учреждение Свердловской области «Нижнетагильская вечерняя школа № 2»;108,00;125,00;86,40;Эффективное
76.;012177;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 4, реализующая адаптированные основные общеобразовательные программы»;138,00;160,00;86,25;Эффективное
77.;012152;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы «Верхнетагильский центр психолого-педагогической, медицинской и социальной помощи» ;138,00;160,00;86,25;Эффективное
78.;012064;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский агропромышленный техникум»;138,00;160,00;86,25;Эффективное
79.;012106;Государственное автономное профессиональное образовательное учреждение Свердловской области «Северный педагогический колледж»;138,00;160,00;86,25;Эффективное
80.;012016;Государственное автономное профессиональное образовательное учреждение Свердловской области «Богдановичский политехникум»;141,00;164,00;85,98;Эффективное
81.;012133;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский техникум автомобильного транспорта и сервиса»;137,00;160,00;85,63;Эффективное
82.;012013;Государственное автономное профессиональное образовательное учреждение Свердловской области «Баранчинский электромеханический техникум»;136,00;160,00;85,00;Эффективное
83.;012266;"Государственное автономное учреждение Свердловской области ""Центр оценки профессионального мастерства и квалификаций педагогов""";119,00;140,00;85,00;Эффективное
84.;012107;Государственное автономное профессиональное образовательное учреждение Свердловской области «Североуральский политехникум»;136,00;160,00;85,00;Эффективное
85.;012190;Государственное бюджетное общеобразовательное учреждение Свердловской области «Колчеданская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;136,00;160,00;85,00;Эффективное
86.;012167;Государственное бюджетное общеобразовательное учреждение Свердловской области «Байкаловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;136,00;160,00;85,00;Эффективное
87.;012240;"Государственное казенное общеобразовательное учреждение Свердловской области ""Екатеринбургская вечерняя школа № 1""";106,00;125,00;84,80;Эффективное
88.;012264;Государственное автономное учреждение Свердловской области «Дом молодежи»;116,00;137,00;84,67;Эффективное
89.;012104;Государственное автономное учреждение Свердловской области «Санаторий-профилакторий «Юбилейный»;116,00;137,00;84,67;Эффективное
90.;012138;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ладо»;132,00;156,00;84,62;Эффективное
91.;012084;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский строительный колледж»;135,00;160,00;84,38;Эффективное
