Рейтинг эффективности деятельности государственных учреждений Свердловской области, в отношении которых Министерству образования и молодежной политики Свердловской области осуществляет функции и полномочия учредителя, за 2021 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
1.;012038;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский торгово-экономический техникум»;158,00;161,00;98,14;Высокоэффективное
2.;012081;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 2»;158,00;161,00;98,14;Высокоэффективное
3.;012042;Государственное автономное образовательное учреждение дополнительного профессионального образования Свердловской области «Институт развития образования»;95,00;97,00;97,94;Высокоэффективное
4.;012040;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский экономико-технологический колледж»;156,00;161,00;96,89;Высокоэффективное
5.;012054;Государственное автономное профессиональное образовательное учреждение Свердловской области «Колледж управления и сервиса «Стиль» ;155,00;161,00;96,27;Высокоэффективное
6.;012090;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский торгово-экономический колледж»;155,00;161,00;96,27;Высокоэффективное
7.;012142;Государственное автономное нетиповое образовательное учреждение Свердловской области «Дворец молодежи»;114,00;119,00;95,80;Высокоэффективное
8.;012082;Государственное автономное профессиональное  образовательное учреждение Свердловской области «Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова» ;154,00;161,00;95,65;Высокоэффективное
9.;012131;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж технологий и предпринимательства» ;154,00;161,00;95,65;Высокоэффективное
10.;012104;Государственное автономное учреждение Свердловской области «Санаторий-профилакторий «Юбилейный»;86,00;91,00;94,51;Эффективное
11.;012068;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский  техникум торговли и сервиса»;151,00;161,00;93,79;Эффективное
12.;012003;Государственное автономное профессиональное образовательное учреждение Свердловской области «Свердловский областной педагогический колледж»;148,00;158,00;93,67;Эффективное
13.;012001;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Эхо»;129,00;138,00;93,48;Эффективное
14.;012205;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат № 1, реализующая адаптированные основные общеобразовательные программы»;129,00;138,00;93,48;Эффективное
15.;012207;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;129,00;138,00;93,48;Эффективное
16.;012043;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский гуманитарный колледж»;150,00;161,00;93,17;Эффективное
17.;012121;Государственное автономное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж им. Н.И. Кузнецова»;150,00;161,00;93,17;Эффективное
18.;012122;Государственное автономное профессиональное образовательное учреждение Свердловской области «Техникум индустрии питания и услуг «Кулинар»;150,00;161,00;93,17;Эффективное
19.;012179;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 2, реализующая адаптированные основные общеобразовательные программы»;128,00;138,00;92,75;Эффективное
20.;012049;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский педагогический колледж»;147,00;161,00;91,30;Эффективное
21.;012182;"Государственное бюджетное общеобразовательное учреждение Свердловской области ""Екатеринбургская школа-интернат № 11, реализующая адаптированные основные общеобразовательные программы""";126,00;138,00;91,30;Эффективное
22.;012002;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ресурс»;89,00;98,00;90,82;Эффективное
23.;012015;Государственное автономное профессиональное образовательное учреждение Свердловской области «Берёзовский техникум «Профи» ;146,00;161,00;90,68;Эффективное
24.;012028;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский автомобильно-дорожный колледж»;146,00;161,00;90,68;Эффективное
25.;012032;Государственное автономное профессиональное образовательное учреждение  Свердловской области «Екатеринбургский монтажный колледж»;146,00;161,00;90,68;Эффективное
26.;012127;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж бизнеса, управления и технологии красоты»;146,00;161,00;90,68;Эффективное
27.;012210;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ревдинская школа, реализующая адаптированные основные общеобразовательные программы»;125,00;138,00;90,58;Эффективное
28.;012023;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесалдинский авиаметаллургический колледж им. А. А. Евстигнеева» ;145,00;161,00;90,06;Эффективное
29.;012048;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский гуманитарно-технологический техникум»;145,00;161,00;90,06;Эффективное
30.;012183;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат №13, реализующая адаптированные основные общеобразовательные программы»;124,00;138,00;89,86;Эффективное
31.;012188;Государственное бюджетное общеобразовательное учреждение Свердловской области «Карпинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;124,00;138,00;89,86;Эффективное
32.;012136;Государственное казенное учреждение Свердловской области «Хозяйственно-эксплуатационное управление Министерства образования и молодежной политики Свердловской области»;61,00;68,00;89,71;Эффективное
33.;012172;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 6, реализующая адаптированные основные общеобразовательные программы»;115,00;129,00;89,15;Эффективное
34.;012203;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 2, реализующая адаптированные основные общеобразовательные программы»;123,00;138,00;89,13;Эффективное
35.;012033;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский промышленно-технологический техникум им. В.М. Курочкина»;143,00;161,00;88,82;Эффективное
36.;012100;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский многопрофильный техникум»;143,00;161,00;88,82;Эффективное
37.;012021;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнепышминский механико-технологический техникум «Юность»;154,00;174,00;88,51;Эффективное
38.;012103;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Речевой центр»;122,00;138,00;88,41;Эффективное
39.;012174;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 1, реализующая адаптированные основные общеобразовательные программы» ;122,00;138,00;88,41;Эффективное
40.;012223;Государственное казенное общеобразовательное учреждение Свердловской области «Верхотурская вечерняя школа»;76,00;86,00;88,37;Эффективное
41.;012093;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский металлургический колледж»;142,00;161,00;88,20;Эффективное
42.;012129;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж строительства, архитектуры и предпринимательства»;142,00;161,00;88,20;Эффективное
43.;012133;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский техникум автомобильного транспорта и сервиса»;142,00;161,00;88,20;Эффективное
44.;012134;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский политехнический колледж – Межрегиональный центр компетенций»;142,00;161,00;88,20;Эффективное
45.;012151;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский техникум отраслевых технологий и сервиса»;142,00;161,00;88,20;Эффективное
46.;012010;Государственное автономное профессиональное образовательное учреждение Свердловской области «Асбестовский политехникум» ;141,00;161,00;87,58;Эффективное
47.;012030;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский колледж транспортного строительства» ;141,00;161,00;87,58;Эффективное
48.;012132;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский радиотехнический колледж им. А.С. Попова»;141,00;161,00;87,58;Эффективное
49.;012140;Государственное бюджетное  учреждение Свердловской области «Детский оздоровительный центр «Юность Урала»;77,00;88,00;87,50;Эффективное
50.;012080;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 1»;140,00;161,00;86,96;Эффективное
51.;012125;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский государственный колледж имени И.И. Ползунова»;140,00;161,00;86,96;Эффективное
52.;012175;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №3, реализующая адаптированные основные общеобразовательные программы»;120,00;138,00;86,96;Эффективное
53.;012064;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский агропромышленный техникум»;139,00;161,00;86,34;Эффективное
54.;012092;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский политехникум»;139,00;161,00;86,34;Эффективное
55.;012204;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 1, реализующая адаптированные основные общеобразовательные программы»;119,00;138,00;86,23;Эффективное
56.;012118;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сухоложский многопрофильный техникум»;138,00;161,00;85,71;Эффективное
57.;012177;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 4, реализующая адаптированные основные общеобразовательные программы»;118,00;138,00;85,51;Эффективное
58.;012208;Государственное бюджетное общеобразовательное учреждение Свердловской области «Первоуральская школа, реализующая адаптированные основные общеобразовательные программы»;118,00;138,00;85,51;Эффективное
59.;012091;Государственное автономное профессиональное образовательное учреждение Свердловской области «Областной техникум дизайна и сервиса» ;137,00;161,00;85,09;Эффективное
60.;012106;Государственное автономное профессиональное образовательное учреждение Свердловской области «Северный педагогический колледж»;137,00;161,00;85,09;Эффективное
61.;012126;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский железнодорожный техникум»;137,00;161,00;85,09;Эффективное
62.;012229;Государственное казенное общеобразовательное учреждение Свердловской области «Ивдельская вечерняя школа»;73,00;86,00;84,88;Эффективное
63.;012055;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский индустриальный колледж»;140,00;165,00;84,85;Эффективное
64.;012180;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №9, реализующая адаптированные основные общеобразовательные программы»;117,00;138,00;84,78;Эффективное
65.;012196;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуральская школа, реализующая адаптированные основные общеобразовательные программы»;117,00;138,00;84,78;Эффективное
66.;012051;Государственное автономное профессиональное образовательное учреждение Свердловской области «Карпинский машиностроительный техникум»;136,00;161,00;84,47;Эффективное
67.;012165;Государственное бюджетное общеобразовательное учреждение Свердловской области «Березовская школа, реализующая адаптированные основные общеобразовательные программы»;116,00;138,00;84,06;Эффективное
68.;012190;Государственное бюджетное общеобразовательное учреждение Свердловской области «Колчеданская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;116,00;138,00;84,06;Эффективное
69.;012152;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы «Верхнетагильский центр психолого-педагогической, медицинской и социальной помощи» ;108,00;129,00;83,72;Эффективное
70.;012037;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум химического машиностроения""";134,00;161,00;83,23;Эффективное
71.;012075;Государственное автономное профессиональное образовательное учреждение Свердловской области «Новоуральский технологический колледж»;134,00;161,00;83,23;Эффективное
72.;012078;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский железнодорожный техникум»;134,00;161,00;83,23;Эффективное
73.;012214;Государственное бюджетное общеобразовательное учреждение Свердловской области «Сухоложская школа, реализующая адаптированные основные общеобразовательные программы»;107,00;129,00;82,95;Эффективное
74.;012036;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум ""Автоматика""";133,00;161,00;82,61;Эффективное
75.;012107;Государственное автономное профессиональное образовательное учреждение Свердловской области «Североуральский политехникум»;133,00;161,00;82,61;Эффективное
76.;012137;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр «Дар»;114,00;138,00;82,61;Эффективное
77.;012167;Государственное бюджетное общеобразовательное учреждение Свердловской области «Байкаловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;114,00;138,00;82,61;Эффективное
78.;012225;Государственное казенное общеобразовательное учреждение Свердловской области «Краснотурьинская вечерняя школа»;71,00;86,00;82,56;Эффективное
79.;012063;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский политехнический колледж»;132,00;161,00;81,99;Эффективное
80.;012149;Государственное автономное профессиональное образовательное учреждение Свердловской области «Режевской политехникум»;132,00;161,00;81,99;Эффективное
81.;012178;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 7, реализующая адаптированные основные общеобразовательные программы»;113,00;138,00;81,88;Эффективное
82.;012130;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский техникум «Рифей»;142,00;174,00;81,61;Эффективное
